,utme,utmn,T_emp,Sc
0,420050,7438750,0.00012104017687422353,0.00013333333333333334
1,420000,7440100,0.00024289174494114668,0.0002722222222222222
2,419250,7438800,0.00022594718805265174,0.00025277777777777777
3,419450,7439500,,
4,419200,7441650,0.003233202929738643,0.003863888888888889
5,419650,7439000,0.0014580039084359227,0.0017083333333333334
6,422450,7440750,,
7,423050,7441550,0.00023563350549594435,0.00026388888888888886
8,422300,7441100,0.00031760533544711344,0.00035833333333333333
9,419300,7446100,,
10,418900,7438900,0.0004229214744577866,0.0004805555555555556
11,417320,7435150,,
12,420600,7439600,,
13,420000,7440050,0.0002573922597232491,0.0002888888888888889
14,419900,7439250,0.0030652517526218105,0.0036583333333333333
15,426600,7443500,0.0012122426572870318,0.0014138888888888888
16,426500,7443500,0.001328308012447683,0.0015527777777777777
17,429250,7445150,0.004697983288493935,0.005666666666666666
18,429450,7445300,0.001550467298307252,0.0018194444444444445
19,428350,7442700,0.000992388915383232,0.001151734297576
20,428040,7443320,0.0014464359363823964,0.0016944444444444444
21,427850,7443650,0.0011100855424271967,0.0012919151118804888
22,427400,7444020,0.00039150775824768933,0.00044401020463551117
23,426450,7444430,0.0007495661016827316,0.0008638888888888889
24,430100,7444600,0.0009745779355669244,0.0011305555555555557
25,429750,7445150,0.0013213514080686894,0.0015444444444444444
26,425510,7444120,0.001453376993770649,0.0017027777777777777
27,433900,7444000,0.0003655691264143898,0.0004138888888888889
28,427200,7442900,0.00038710068128366905,0.0004388888888888889
29,422250,7442250,0.0003583850352074299,0.00040555555555555554
30,427310,7444760,0.0005252116134096478,0.0006000000000000001
31,427510,7441510,0.0019006473541208018,0.0022416666666666665
32,428600,7442100,0.0001851781093091733,0.00020614767127642665
33,427320,7442330,0.001000272124217084,0.001161111111111111
34,418810,7434810,0.00037514248282917564,0.00042500000000000003
35,418770,7435600,0.00031760533544711344,0.00035833333333333333
36,424850,7437150,0.0001822236733570468,0.00020277777777777777
37,427600,7444350,0.003072064942331108,0.0036666666666666666
38,427500,7444650,0.003149255111199941,0.003761111111111111
39,427500,7440500,0.0006270068132045921,0.0007194444444444444
40,427900,7443500,0.001312074521585172,0.0015333333333333332
41,427300,7442350,0.001543537390055324,0.001811111111111111
42,426400,7443950,0.0002332128679544459,0.0002611111111111111
43,427400,7442400,0.0014302369157613193,0.001675
44,424910,7437080,0.0002477275743380592,0.0002777777777777778
45,434200,7443400,2.6192343050324183e-05,2.777777777777778e-05
46,426050,7436800,5.446523978663994e-06,5.555555555555556e-06
47,424550,7435000,1.5910885130464893e-05,1.6666666666666667e-05
48,425100,7436650,3.1292438696975276e-05,3.3333333333333335e-05
49,424580,7435580,8.645527119992028e-05,9.444444444444446e-05
50,429620,7444660,0.0005868152401199801,0.0006722222222222222
51,420350,7440440,0.00045390511959847576,0.0005166666666666667
52,420850,7440900,0.0016500971228204494,0.00193935119887165
53,421110,7441480,,
54,417650,7438900,0.0003473025330054536,0.00039270833333333334
55,417700,7436000,0.0008465997740704638,0.0009786721706226361
56,419700,7434470,0.0004447837692768305,0.0005060292850990528
57,418630,7434100,0.0005044494671446307,0.000575705238917675
58,419160,7440750,,
59,417500,7436480,0.0007918045462264434,0.00091381100726895
60,418999,7436999,0.0003978325477484238,0.0004513625242554639
61,418720,7436020,0.00036982219843513774,0.0004188242461163583
62,417590,7437350,,
63,418120,7440000,0.00014385335443808128,0.0001591435185185186
64,419020,7434370,7.908902553354345e-05,8.620689655172416e-05
65,420000,7441220,0.0019611431273124313,0.002314814814814814
66,419210,7436720,0.0004207897545435721,0.00047807341709780836
67,417600,7438060,0.0023663976003616043,0.0028061949417448055
68,418660,7435550,0.0016800195902734998,0.0019753991528185084
69,417550,7437080,0.0019493050221740108,0.002300496372661322
70,426570,7443066,0.0006782221123053365,0.0007797270955165694
71,417060,7435660,0.00012809479570648026,0.00014130281192595724
72,416980,7436020,2.7326192670164313e-05,2.9010733971569444e-05
73,425600,7436660,5.70912535993634e-05,6.172839506172833e-05
74,426010,7436290,0.00012186769822208851,0.00013426758593125497
75,437060,7450730,4.46210760156542e-06,4.528985507246389e-06
76,436810,7449650,1.7081056341517736e-05,1.792394014962583e-05
77,425910,7443010,0.0002145596790308862,0.000239730382805545
78,419420,7439120,0.00027141347680256675,0.0003050268423621278
79,419850,7434370,,
80,419070,7434470,,
81,419800,7434980,,
82,419800,7439050,,
83,419900,7438900,,
84,418420,7435770,,
85,420200,7439850,,
86,418990,7438610,,
87,422100,7440900,,
88,421370,7440780,,
89,421350,7440800,,
90,422750,7441500,,
91,422450,7440790,,
92,418150,7439400,,
93,422650,7441450,,
94,422150,7441090,,
95,417020,7435860,,
96,417210,7435880,,
97,422350,7441180,,
98,418660,7438980,,
99,419810,7439700,,
100,420230,7440200,,
101,420230,7440210,,
102,420220,7440220,,
103,420230,7440210,,
104,419520,7438290,,
105,422800,7440800,,
106,422550,7440700,,
107,418000,7438600,,
108,418500,7435750,,
109,418730,7435570,,
110,418930,7437250,,
111,423680,7441470,,
112,426510,7443790,,
113,425160,7442730,,
114,428450,7444200,,
115,436550,7449450,,
116,428300,7443900,,
117,430890,7444870,,
118,436742,7443422,,
119,436740,7450330,,
120,427400,7442350,,
121,430600,7446360,,
122,424650,7442790,,
123,425380,7442400,,
124,425760,7438190,,
125,428380,7436950,,
126,423450,7451090,,
127,436180,7451970,,
128,438790,7451090,,
129,436040,7450740,,
130,427800,7444440,,
131,430920,7444450,,
132,425180,7443060,,
133,432650,7443880,,
134,427360,7444760,,
135,423500,7441500,,
136,425200,7435500,,
137,433600,7443300,,
138,433450,7439600,,
139,428550,7444220,,
140,431850,7448540,,
141,436650,7451650,,
142,436800,7451100,,
143,436840,7451330,,
144,436450,7451600,,
145,426550,7443800,,
146,423750,7441750,,
147,429900,7443850,,
148,423300,7441280,,
149,423490,7441000,,
150,436150,7450600,,
151,426370,7442050,,
152,426960,7442360,,
153,425880,7442950,,
154,436200,7450100,,
155,426030,7440970,,
156,424120,7436300,,
157,428140,7441420,,
158,427330,7444780,,
159,427170,7443220,,
160,426730,7443560,,
161,426640,7443640,,
162,426570,7443060,,
163,421920,7440790,,
164,417220,7435640,,
165,422570,7440830,,
166,435955,7450360,,
167,437020,7450700,,
168,427260,7445350,,
169,426290,7444300,,
170,427730,7444450,,
171,425520,7437090,,
172,428310,7445100,,
173,430550,7444100,,
174,424180,7442420,,
175,425730,7443200,,
176,436890,7449660,,
177,437030,7450640,,
